Title,Acronym,CORE2023,CORE2021,CORE2020,CORE2018,CORE2017,CORE2014,CORE2013,ERA2010,h5_index,h5_median
International Conference on Wireless Networks and Mobile Communications,WINCOM,National:Morocco,National:Morocco,,,,,,,19.0,27.0
International Conference on Worldwide Computing and Its Applications,WWCA,,,,C,C,C,C,C,28.0,37.0
International Conference on e-Business,ICEB,,,,B,B,B,B,B,15.0,19.0
International Conference on network and System Security,NSS,B,B,B,B,B,B,B,B,22.0,34.0
International Conference on the Application and Theory of Petri Nets and Concurrency,Petri Nets,B,B,B,B,B,B,B,B,,
International Conference on the Foundations of Digital Games,FDG,C,C,C,C,C,C,C,C,25.0,31.0
International Conference on the Principles of Knowledge Representation and Reasoning,KR,A*,A*,A*,A*,A*,A*,A*,A,23.0,31.0
International Conference on the Quality of Information and Communications Technology,QUATIC,C,C,C,C,,,,,14.0,18.0
International Conference on the Simulation and Synthesis of Living Systems,ALIFE,C,C,A,A,A,A,A,A,,
International Conference on the Statistical Analysis of Textual Data,JADT,C,C,C,C,C,C,C,C,,
International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,A*,A*,A*,A*,A*,A*,A*,A,63.0,99.0
International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,A,A,A,A,A,A,A,A,46.0,66.0
International Conference on the Theory of Information Retrieval,ICTIR,Unranked,Unranked,Unranked,Unranked,,,,,24.0,42.0
"International Conference: Sciences of Electronics, Technologies of information and Telecommunication",SETIT,Unranked,Unranked,Unranked,Unranked,,,,,,
"International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision",WSCG,National: Czecholslovakia,National: Czecholslovakia,National: Czecholslovakia,B,B,B,B,B,,
International Congress of Chinese Mathematicians,ICCM,,,,C,C,C,C,C,,
International Congress of Mathematicians,ICM,,,,C,C,C,C,C,,
International Congress on Computational and Applied Mathematics,ICCAM,C,C,C,C,C,C,C,C,1.0,2.0
International Congress on Modelling and Simulation,MODSIM,Australasian C,Australasian C,Australasian C,C,C,C,C,C,5.0,10.0
International Cross-Domain Conference for Machine Learning and Knowledge Extraction,CD-MAKE,C,C,,,,,,,20.0,34.0
International Database Conference (HK CS),IDC(W),,,,,L,L,L,,41.0,67.0
International Database Engineering and Applications Symposium,IDEAS,C,B,B,B,B,B,B,B,16.0,23.0
International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),EuroPar,B,B,A,A,A,A,A,,,
International FLINS Conference on Robotics and Artificial Intelligence (was International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference),FLINS,C,C,B,B,B,B,B,B,9.0,12.0
International Federation of Automatic Control World Congress,IFAC,,,,C,C,C,C,,,
International Forum on Applied Wearable Computing,IFAWC,,,,C,C,C,C,C,,
