Title,ERA Score
Australian Supercomputing Conference ACS,C
Australian Symposium on Information Visualisation ASIV,B
Australian Telecommunication Networks and Applications Conference ATNAC,C
Australian Universities Building Education Association Annual Conference AUBEA,B
Australian UNIX Users Group National Conference AUUG,C
Australian Water Association Convention - Ozwater,C
Australian Women in IT Conference OzWIT,B
"Australian Workshop on Mobile Computing, Databases and Applications MCDA",C
Australian Workshop on Requirements Engineering AWRE,B
Australian Workshop on Safety Critical Systems and Software SCSS,C
Australian Workshop on Software Architecture AWSA,C
Australian World Wide Web Conference AusWeb,C
Automated Software Engineering Conference ASE,A
Automation and Robotics International Symposium ISARC,B
Automation of Software Test AST,C
Baltic Sea Conference on Computing Education Research Koli Calling,B
Baosteel Academic Conference,B
Benelux Workshop on Information and System Security WISSec,C
Bioinformatics Visualization BioViz,C
Bled Electronic Commerce Conference BECC,B
Bluff Body Aerodynamics and Applications,A
Body Sensor Networks BSN,C
Brazilian Symposium on Computer Graphics and Image Processing SIBGRAPI,C
Brazilian Symposium on Databases SBBD,C
"Brazilian Symposium on Graphs, Algorithms and Combinatorics GRACO",C
Brazilian Symposium on Information and Computer Systems Security SBSEG,C
British Colloquium for Theoretical Computer Science BCTCS,C
British Computer Society Conference on Human-Computer Interaction HCI,A
British Computer Society Formal Aspects of Computing Science Specialist Group Workshop BCS-FMW,C
British Machine Vision Conference BMVC,B
British National Conference on Databases BNCOD,B
Built Environment Education Conference BEECON,B
CAADFutures Biennial conference CAADFutures,A
Canadian Artificial Intelligence Conference CAAI,B
Canadian Conference on Computational Geometry CCCG,C
Canadian Conference on Computer and Robot Vision CRV,C
Canadian Conference on Electrical and Computer Engineering CCECE,C
Canadian Discrete and Algorithmic Mathematics Conference CanaDAM,C
Canadian Geotechnical Society Conference,B
"Canadian Society for Civil Engineering, International Construction Specialty Conference ICSC",C
Centre for Asian and Middle Eastern Architecture conference CAMEA,A
CGAL User Workshop CGAL,C
CGC Workshop on Computational Geometry CGC,C
Challenges of Large Applications in Distributed Environments CLADE,C
Chemeca: Australasian Conference on Chemical Engineering,B
Chilean Database Workshop JCC/WBD(CDW),C
ChinaGrid Annual Conference ChinaGrid,C
CIRP Life Cycle Engineering Conference,A
Coastal Environment,C
Cognitive Science Society Annual Conference CSSAC,A
Collaborative Electronic Commerce Technology and Research CollECTeR,B
"Colloquium on Mathematics and Computer Science: Algorithms, Trees, Combinatorics and Probabilities MathInfo",C
Cologne-Twente Workshop on Graphs and Combinatorial Optimization CTW,C
CombinaTexas: Combinatorics in the South-Central U.S. Combina Texas,C
Combinatorial Pattern Matching CPM,B
Committee on Data for Science and Technology CODATA,C
Complex Objects Visualization Workshop COV,C
Complexity and information-theoretic approaches to biology CITB,B
"Composite Construction V, Kruger National Park, South Africa, American Society of Civil Engineers",A
Computability in Europe: Logic and Theory of Algorithms CiE,C
Computational Intelligence in Security for Information Systems CISIS,B
Computational Techniques and Applications Conference CTAC,C
Computational Topology Workshop CT,C
Computational Wind Engineering,B
Computer Aided Verification CAV,A
Computer Animation CANIM,A
"Computer Animation, Information Visualisation, and Digital Effects CAivDE",C
Computer Applications in The Mineral Industries APCOM,A
Computer Graphics International CGI,B
Computer Science Research Conference CSRC,C
Computer Supported Collaborative Learning CSCL,A
Computers in Cardiology,A
Computing and Control in the Water Industry 2009,B
Computing in Civil Engineering and Building International Conference ICCCBE,C
Computing in Education Group of Victoria Conference CEG,C
Computing: The Australasian Theory Symposium CATS,B
Conference and Symposium of the International Committee on Aeronautical Fatigue,A
Conférence en Recherche d'information et Applications CORIA,C
Conference for the International Simulation and Gaming Association ISAGA,C
Conference in Uncertainty in Artificial Intelligence UAI,A
Conference of South African Institute of Computer Scientists and Information Technologists SAICSIT,C
Conference of the Association for Machine Translation in the Americas AMTA,B
Conference of the Association of Asian-Pacific Operational Research Societies APORS,C
Conference of the Australian Institutes of Transport Research CAITR,C
Conference of the Commission Internationale pour l'Etude et l'Amelioration de l'Enseignement des Mathematiques CIEAEM,C
Conference of the European Association for Machine Translation EAMT,B
Conference of the International Society for Decision Support Systems ISDSS,C
Conference of the Pacific Association for Computational Linguistics PACLING,B
Conference on Agile Software Development Agile,B
Conference on Algorithmic Aspects in Information and Management AAIM,C
Conference on Algorithms and Hardware for Parallel Processing CONPAR,C
Conference on Analysis of Algorithms AofA,B
Conference on Artificial Intelligence for Applications CAIA,B
Conference on Artificial Neural Networks and Expert systems ANNES,C
Conference on Combinatorial Optimization and Applications COCOA,B
"Conference on Computers, Freedom, and Privacy CFP",C
Conference on Construction Partnering CII-HK,C
"Conference on Discrete Mathematics, Algebra and their Application DIMA",C
Conference on Fun with Algorithms FUN,B
Conference on Graph Theory and Discrete Geometry CGTDG,C
"Conference on Information Science, Technology and Management CISTM",B
Conference on Information Sciences and Systems CISS,C
Conference on Innovative Data Systems Research CIDR,A
Conference on Integer Programming and Combinatorial Optimization IPCO,A
Conference on Natural Language Learning CoNLL,A
Conference on Office Information Systems SIGOA,C
Conference on Operational Research Practice in Africa ORPA,C
Conference on Operations Research COR,C
"Conference on Orders, Algorithms and Applications Ordal",C
Conference on Railway Engineering,A
Conference on RFID Security RFIDSec,C
Conference on Security and Cryptography for Networks SCN,B
